id;ident;type;name;latitude_deg;longitude_deg;elevation_ft;continent;iso_country;iso_region;municipality;scheduled_service;gps_code;iata_code;local_code;home_link;wikipedia_link
322383;TVSA;medium_airport;Argyle International Airport;13.156695;-61.149945;136;NA;VC;VC-04;Kingstown;yes;TVSA;SVD;;http://www.svgiadc.com;https://en.m.wikipedia.org/wiki/Argyle_International_Airport
6412;TVSB;medium_airport;J F Mitchell Airport;12.9884;-61.262001;15;NA;VC;VC-06;Bequia;no;TVSB;BQU;;;https://en.wikipedia.org/wiki/J._F._Mitchell_Airport
6413;TVSC;medium_airport;Canouan Airport;12.699;-61.3424;11;NA;VC;VC-06;Canouan;yes;TVSC;CIW;;;https://en.wikipedia.org/wiki/Canouan_Airport
6414;TVSM;medium_airport;Mustique Airport;12.8879;-61.180199;8;NA;VC;VC-06;Mustique Island;yes;TVSM;MQS;;;https://en.wikipedia.org/wiki/Mustique_Airport
32542;TVSU;medium_airport;Union Island International Airport;12.600135;-61.411945;16;NA;VC;VC-06;Union Island;yes;TVSU;UNI;;;https://en.wikipedia.org/wiki/Union_Island_Airport
6416;TXKF;medium_airport;L.F. Wade International Airport;32.363998;-64.678703;12;NA;BM;BM-U-A;Hamilton;yes;TXKF;BDA;;http://www.bermudaairport.com/;https://en.wikipedia.org/wiki/Bermuda_International_Airport
6421;UAAA;large_airport;Almaty International Airport;43.354267;77.042828;2234;AS;KZ;KZ-ALA;Almaty;yes;UAAA;ALA;;;https://en.wikipedia.org/wiki/Almaty_International_Airport
6422;UAAH;medium_airport;Balkhash Airport;46.894246;75.004533;1446;AS;KZ;KZ-KAR;Balkhash;yes;UAAH;BXH;;;https://en.wikipedia.org/wiki/Balkhash_Airport
41868;UAAT;medium_airport;Taldykorgan Airport;45.12255;78.442758;1925;AS;KZ;KZ-JET;Taldykorgan;yes;UAAT;TDK;;;https://en.wikipedia.org/wiki/Taldykorgan_Airport
6423;UACC;large_airport;Nursultan Nazarbayev International Airport;51.027035;71.467094;1165;AS;KZ;KZ-AST;Astana;yes;UACC;NQZ;;https://www.nn-airport.kz;https://en.wikipedia.org/wiki/Nursultan_Nazarbayev_International_Airport
31768;UACK;medium_airport;Kokshetau Airport;53.329102;69.594597;900;AS;KZ;KZ-AKM;Kokshetau;yes;UACK;KOV;;;https://en.wikipedia.org/wiki/Kokshetau_Airport
32495;UACP;medium_airport;Petropavl Airport;54.774702;69.183273;453;AS;KZ;KZ-SEV;Petropavl;yes;UACP;PPK;;;https://en.wikipedia.org/wiki/Petropavl_Airport_(Kazakhstan)
6424;UADD;medium_airport;Taraz Airport;42.853599548339844;71.30359649658203;2184;AS;KZ;KZ-ZHA;Taraz;yes;UADD;DMB;;;https://en.wikipedia.org/wiki/Taraz_Airport
6425;UAFL;medium_airport;Issyk-Kul International Airport;42.585584;76.701181;5425;AS;KG;KG-Y;Tamchy;yes;UCFL;IKU;IKU;http://www.airport.kg/index.php?option=com_content&view=article&id=4&Itemid=6;https://en.wikipedia.org/wiki/Tamchy_Airport
6426;UAFM;large_airport;Manas International Airport;43.0612983704;74.4776000977;2058;AS;KG;KG-C;Bishkek;yes;UCFM;FRU;;;https://en.wikipedia.org/wiki/Manas_International_Airport
6427;UAFO;medium_airport;Osh Airport;40.6090011597;72.793296814;2927;AS;KG;KG-O;Osh;yes;UCFO;OSS;;http://www.airport.kg/eng/branches.htm;https://en.wikipedia.org/wiki/Osh_Airport
6428;UAFW;medium_airport;Kant Air Base;42.85319900512695;74.84649658203125;2549;AS;KG;KG-C;Kant;no;UAFW;;;;https://en.wikipedia.org/wiki/Kant_Air_Base
