@ident;@phi;@lambda;@alt;@theta;@length;@width;@number;@designator;Vasi.PRIMARY.@biasZ;Vasi.PRIMARY.@pitch;Vasi.SECONDARY.@biasZ;Vasi.SECONDARY.@pitch;OffsetThreshold.PRIMARY.@length;OffsetThreshold.SECONDARY.@length;RunwayDeformation.0;RunwayDeformation.
CYCQ;0.9719254147890288;-2.122786566032569;608.076;1.2640285308181134;1357.654;29.666;5;;;;374.027;0.0523598775598298;;;606.8568;609.2952
CYDA;1.11774898945195;-2.428280344209892;368.96;0.8841713374094682;1547.703;11.248;3;;469.052;0.0523598775598298;469.052;0.0523598775598298;;;367.8936;370.0272
CYDB;1.0711201258469023;-2.4267045044593645;800.1;5.3724906549131655;1544.467;23.867;29;;467.433;0.0523598775598298;467.433;0.0523598775598298;;;795.2232;804.9768
CYDF;0.858862456851578;-1.001720733628416;17.6784;0.8071690514209752;2441.018;43.525;7;;757.561;0.0523598775598298;;;;;13.4112;21.9456
CYDN;0.8918898513179835;-1.746256739455842;301.244;2.621430431288671;1524.0;43.344;14;;;;;;;;301.1424;304.4952
CYDN;0.8919886626567295;-1.7462595638630136;301.244;1.5697369119389362;829.087;23.353;8;;;;;;;;301.4472;299.6184
CYDO;0.8513464694491056;-1.2631813252048665;112.623;1.6380539857838996;1513.76;29.978;11;;;;;;;;112.1664;113.6904
CYDO;0.8513130856585368;-1.2631961572436328;112.623;3.4200917007378746;1123.763;26.48;21;;;;;;;;112.776;111.8616
CYDQ;0.9728856859196044;-2.0975898970158817;653.948;1.503403579321789;1519.192;44.732;7;;454.796;0.0523598775598298;454.796;0.0523598775598298;;;654.1008;653.796
CYEE;0.7798979132613812;-1.3950320797027898;233.78160000000003;2.593877092920362;1207.202;22.954;16;;298.801;0.0523598775598298;298.801;0.0523598775598298;;;235.6104;231.9528
CYEG;0.9306269448277008;-1.9823816262813516;713.384;0.6092698327287672;3335.791;62.512;2;;1342.847;0.0523598775598298;1175.154;0.0523598775598298;;;707.631;712.3176000000001
CYEG;0.9301964372953342;-1.9823283682610364;713.384;2.3558419336834424;3104.975;60.458;12;;;;1244.387;0.0523598775598298;;;708.817;723.573
CYEL;0.8089877759423544;-1.4409622068198005;326.4408;1.9622536067308267;1368.984;29.83;12;;379.692;0.0523598775598298;379.692;0.0523598775598298;;;331.0128;321.8688
CYEM;0.800101408806637;-1.4286830966408126;262.28;0.2067495564362683;1062.416;28.677;2;;226.408;0.0523598775598298;226.408;0.0523598775598298;;;259.38480000000004;265.176
CYEN;0.8588801991220435;-1.7970119527075337;579.4248;5.929149980801516;912.305;25.0;33;;;;;;;;579.4248;578.2056
CYEN;0.8588413615728749;-1.7970934547995654;579.4248;4.704091161521933;1517.871;25.0;26;;454.136;0.0523598775598298;454.136;0.0523598775598298;;;579.7296;580.3392
CYET;0.9351289523315268;-2.032699805435486;924.61;4.724018981855354;1824.925;29.794;25;;456.649;0.0523598775598298;432.483;0.0523598775598298;151.014;175.18;921.51;927.827
CYEV;1.1921253069984008;-2.3297224843041864;64.92240000000001;4.6405241757691975;1830.775;45.436;24;;610.587;0.0523598775598298;;;;;67.6656;61.216
CYEY;0.8476171401647146;-1.3657066345460038;322.4784;5.383737207547167;1529.349;28.973;32;;;;;;;;319.4304;325.5264
CYFB;1.112762287930101;-1.1965295369589235;27.584;5.506833883426926;2623.293;59.361;34;;;;1006.846;0.0523598775598298;;;21.6408;33.528
CYFC;0.8005263455469579;-1.161299153662524;17.754;1.2190969490876964;2431.268;62.301;9;;894.838;0.0523598775598298;907.828;0.0523598775598298;;;19.812;17.6784
CYFC;0.8005729424136188;-1.1611867859495768;17.754;2.2744151682279736;1821.444;45.532;15;;611.257;0.0523598775598298;585.6;0.0523598775598298;;;16.154400000000003;17.3736
CYFE;0.8507793663298415;-1.2059775612575352;89.30640000000001;4.352469450966447;1192.35;29.926;27;;;;;;;;89.30640000000001;89.30640000000001
CYFS;1.077918470008082;-2.1159774040798327;166.7256;5.862760623115381;1852.0;44.205;32;;612.269;0.0523598775598298;612.269;0.0523598775598298;;;167.64;165.8112
CYGD;0.7638247855110943;-1.426083448301691;213.715;1.575568929634475;911.211;16.428;10;;150.806;0.0610865238198015;150.806;0.0523598775598298;;;213.9696;216.1032
CYGD;0.7638948651387637;-1.426124558250276;213.715;2.2338661082493143;1526.739;30.937;14;;458.57;0.0523598775598298;458.57;0.0523598775598298;;;209.3976;216.1032
CYGE;0.895339587699065;-2.0417239892070573;784.86;5.898476691862343;1364.018;21.964;32;;;;;;;;784.86;784.86
CYGK;0.7718948033968744;-1.3369657246403144;91.795;6.210966200725939;1829.078;30.503;1;;443.718;0.0523598775598298;137.379;0.0523598775598298;;215.157;91.82;90.632
CYGK;0.7718298381308104;-1.3368475988818072;91.795;0.9317963810547326;1125.372;31.764;7;;257.886;0.0523598775598298;257.886;0.0523598775598298;;;91.7448;90.5256
CYGL;0.9359403042533054;-1.3561918075562205;188.214;5.115372589233716;1966.777;44.324;31;;;;;;;;195.072;181.356
CYGM;0.8836258621982372;-1.6937254032157838;227.9904;2.621584543861622;2071.671;49.161;15;;;;;;;;227.9904;227.9904
CYGP;0.8512867823914715;-1.125381846453939;30.632;1.4673201187672829;1358.826;46.029;10;;374.613;0.0523598775598298;374.613;0.0523598775598298;;;34.1376;27.1272
CYGQ;0.8688020079709213;-1.5173630605972643;347.014;4.417171424331754;1527.032;35.099;26;;458.716;0.0523598775598298;458.716;0.0523598775598298;;;346.86240000000004;347.16720000000004
CYGR;0.8277090955547476;-1.0782741756132197;5.943;0.9180669230268445;1371.972;44.477;7;;437.602;0.0523598775598298;473.774;0.0523598775598298;;;6.7056;3.6576
CYGR;0.8277414670060057;-1.0781483334494837;5.943;2.3715284294015917;1098.336;45.549;16;;;;;;;;2.7432000000000003;10.668
CYGV;0.8775856021857342;-1.1102266861444898;35.6616;4.24119266837997;1369.564;30.901;26;;379.982;0.0523598775598298;379.982;0.0523598775598298;;;37.7952;33.528
CYHD;0.8697238511693908;-1.6186839709398726;412.3944;2.0154674738936573;1822.019;40.8432;12;;606.21;0.0523598775598298;548.865;0.0523598775598298;;57.344;412.6992;412.069
CYHD;0.8696726490366165;-1.6186078289796828;412.3944;4.107808323757256;706.713;16.249;24;;;;;;;;412.3944;412.3944
