@ident;@phi;@lambda;@alt;@theta;@length;@width;@number;@designator;Vasi.PRIMARY.@biasZ;Vasi.PRIMARY.@pitch;Vasi.SECONDARY.@biasZ;Vasi.SECONDARY.@pitch;OffsetThreshold.PRIMARY.@length;OffsetThreshold.SECONDARY.@length;RunwayDeformation.0;RunwayDeformation.
AYDP;-0.09354287335043304;2.5210685410354943;477.963;1.149722467515412;443.804;34.953;6;;;;;;;;466.907;489.02
AYDQ;-0.15061824185434067;2.482144667997088;34.783;5.384741819064615;668.833;41.486;30;;;;;;;;32.15;37.417
AYDR;-0.16513976943139516;2.5816994422054185;530.379;1.4548332304470595;483.923;36.203;8;;;;;;;;523.885;536.874
AYDS;-0.09047592996564492;2.5204688772609005;1912.438;5.071886663722726;451.734;25.0;29;;;;;;;;1890.299;1934.579
AYDU;-0.15859651136986144;2.4994487574371087;3.9624;5.4972874560172915;1398.879;28.473;32;;;;;;;;4.2672;3.6576000000000004
AYDW;-0.14626322250744708;2.4861839291551955;5.88;5.042921179456628;633.502;34.026;28;;;;;;;;5.73;6.03
AYDY;-0.12230602546259967;2.544628700163071;1708.128;1.9518735053506857;527.879;25.0;11;;;;;;;;1733.947;1682.311
AYEA;-0.144364348988886;2.566892050682888;2236.628;5.8153349658838644;466.34400000000005;35.573;33;;;;;;;;2237.985;2235.272
AYEB;-0.1648839109110036;2.5964034619859104;38.535;0.4273042483767913;677.738;32.032;2;;;;;;;;37.754;39.3192
AYEE;-0.028769676726800156;2.6174332253656805;44.128;2.1203484974362015;2144.75;59.649;12;L;;;;;;;50.064;38.194
AYEE;-0.02887407056093666;2.6174042946977454;44.128;2.2631199209078416;2030.583;41.48;12;R;;;;;;;49.719;38.539
AYEF;-0.15976548239362529;2.5771498059900466;1181.813;6.172527243812941;486.841;30.592;35;;;;;;;;1204.351;1159.276
AYEG;-0.11315483504450102;2.5304886645604983;1242.801;0.40721261143977827;582.861;25.0;2;;;;;;;;1272.212;1213.391
AYEH;-0.15208894265778952;2.4721505656378477;20.441;1.6897441805097393;1259.312;75.35;9;;;;;;;;21.891;19.0
AYEI;-0.15846628825411735;2.5761324888566093;638.917;4.877219620272286;337.623;20.441;27;;;;;;;;654.471;623.365
AYEL;-0.08798492572531966;2.4727428953164705;1448.754;5.565896348913189;573.071;25.0;32;;;;;;;;1469.062;1428.446
